Name,Canal,Division,Circle,Zone,Lat,Long,Structure Type
Mianwali Road Bridge,Thal Canal Mainline Upper,Kalabagh,Thal,Sargodha,32.58518712,71.54317783,Bridge
Dully Wala Canal Road Bridge,Thal Canal Mainline Upper,Kalabagh,Thal,Sargodha,32.5817524,71.54424355,Bridge
Govt High School Road Bridge,Thal Canal Mainline Upper,Kalabagh,Thal,Sargodha,32.57822745,71.54532006,Bridge
Onims Campus Road Bridge,Thal Canal Mainline Upper,Kalabagh,Thal,Sargodha,32.55006968,71.54217542,Bridge
Gulmiri Supply Channel,Thal Canal Mainline Upper,Kalabagh,Thal,Sargodha,32.53075953,71.54539495,Other
VR Bridge,Thal Canal Mainline Upper,Kalabagh,Thal,Sargodha,32.522178,71.5490233,Bridge
Kundian Disty,Thal Canal Mainline Upper,Kalabagh,Thal,Sargodha,32.51075258,71.55385559,Disty
Dullewala Branch,Thal Canal Mainline Upper,Kalabagh,Thal,Sargodha,32.5101376,71.55410846,Branch Canal
Mohajir Branch,Thal Canal Mainline Upper,Kalabagh,Thal,Sargodha,32.51025467,71.55479394,Branch Canal
Tibbi Disty,Thal Canal Mainline Upper,Kalabagh,Thal,Sargodha,32.50954264,71.55521045,Disty
Head Pakka,Thal Canal Mainline Upper,Kalabagh,Thal,Sargodha,32.51020384,71.5545673,Other
Mianwali Muzaffargarh Road Bridge,Thal Canal Mainline Upper,Kalabagh,Thal,Sargodha,32.50960518,71.5546064,Bridge
Branch Canal,Thal Canal Mainline Upper,Kalabagh,Thal,Sargodha,32.51080373,71.55379952,Branch Canal
Minchin Branch,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,29.09858485,70.82944356,Branch Canal
M5 Motorway Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,29.0973215,70.82977764,Bridge
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,29.07067367,70.82195225,Bridge
Janpur Disty,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,29.05472626,70.81808561,Disty
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,29.05482135,70.81777558,Bridge
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,29.03237821,70.81173032,Bridge
National Highway Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,29.01853934,70.80794137,Bridge
Lower Rindan Disty,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.99906446,70.80225218,Disty
Sharif Disty,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.98429913,70.79603078,Disty
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.98471438,70.7958111,Bridge
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.97576487,70.78745446,Bridge
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.96957611,70.78321083,Bridge
Upper Nawankot Disty,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.95328026,70.77348489,Disty
Bandoqi Disty,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.95303167,70.77402465,Disty
Road Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.95336719,70.77386208,Bridge
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.93837611,70.77200803,Bridge
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.9257552,70.77008826,Bridge
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.9024237,70.76659516,Bridge
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.88864348,70.76527479,Bridge
Feroza Road Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.88207968,70.76462361,Bridge
Kandani Disty,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.86175279,70.76312854,Disty
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.86198203,70.76265818,Bridge
Thereposti Disty,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.84829219,70.76064405,Disty
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.8245744,70.76211082,Bridge
Arif Disty,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.81571233,70.76535338,Disty
Chuhar Disty,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.81546323,70.76584828,Disty
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.81545767,70.76546632,Bridge
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.78228527,70.77475299,Bridge
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.77342326,70.77739841,Bridge
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.76391532,70.7790209,Bridge
Upper Amir Din Disty,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.74324836,70.76592915,Disty
Dashtian Disty,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.74328676,70.7657219,Disty
Link Disty,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.74343377,70.76536529,Disty
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.70243249,70.73804795,Bridge
VR Bridge,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.70007735,70.73648612,Bridge
Sadiq Feeder,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.69516158,70.73150685,Feeder
Head Tallay Wala,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.69520215,70.73158165,Other
Sherin Disty,Minchin Branch,Khanpur,Rahimyar Khan,Bahawalpur,28.6950283,70.73174528,Disty
